Student_ID,Full_Name,Gender,Date_of_Birth,Age_at_Graduation,Nationality,State_of_Origin,Admission_Year,Graduation_Year,Graduation_Date,Department,Faculty,Program,Final_CGPA,Class_of_Degree,Graduation_Status,Honors_or_Awards
YCT00001,Emeka Olawale,Male,1997-09-02,22,Nigerian,Ogun,2017,2019,2019-07-07,HND Architecture,Environmental Design,HND Architecture,0.63,Fail,Fail out,
YCT00002,Abike Adeoye,Female,1994-11-18,26,Nigerian,Katsina,2018,2020,2020-07-24,ND Computer Science,Science,ND Computer Science,1.84,Fail,Fail out,
YCT00003,Samuel Utomi,Male,2007-06-20,18,Nigerian,Kano,2023,2025,2025-01-23,ND Electrical/Electronics Engineering,Engineering,ND Electrical/Electronics Engineering,0.92,Fail,Fail out,
YCT00004,Abike Olawale,Female,2004-06-17,19,Nigerian,Abia,2021,2023,2023-12-28,HND Business Administration,Management Sciences,HND Business Administration,1.14,Fail,Fail out,
YCT00005,Samuel Adeoye,Male,2004-12-01,20,Nigerian,Abia,2022,2024,2024-03-19,HND Architecture,Environmental Design,HND Architecture,1.84,Fail,Fail out,
YCT00006,Fatima Ogunleye,Female,2001-04-13,21,Nigerian,Taraba,2020,2022,2022-07-19,HND Electrical/Electronics Engineering,Engineering,HND Electrical/Electronics Engineering,1.18,Fail,Fail out,
YCT00007,Tolulope Musa,Female,2006-06-15,19,Nigerian,Bayelsa,2023,2025,2025-05-14,HND Urban and Regional Planning,Environmental Design,HND Urban and Regional Planning,3.05,Upper Credit,Graduated,
YCT00008,Patrick Osho,Male,1995-05-06,27,Nigerian,Osun,2020,2022,2022-11-04,HND Urban and Regional Planning,Environmental Design,HND Urban and Regional Planning,0.28,Fail,Fail out,
YCT00009,Christy Okoro,Female,1994-07-09,27,Nigerian,FCT,2019,2021,2021-12-05,ND Electrical/Electronics Engineering,Engineering,ND Electrical/Electronics Engineering,0.78,Fail,Fail out,
YCT00010,Uche Lawal,Male,1997-11-02,22,Nigerian,Ebonyi,2017,2019,2019-11-25,HND Science Laboratory Technology,Science,HND Science Laboratory Technology,1.67,Fail,Fail out,
YCT00011,Yetunde Jimoh,Female,1998-05-01,25,Nigerian,Bayelsa,2021,2023,2023-12-16,ND Computer Science,Science,ND Computer Science,2.59,Lower Credit,Graduated,
YCT00012,Aisha Abubakar,Female,1998-01-10,27,Nigerian,Enugu,2023,2025,2025-07-25,HND Computer Science,Science,HND Computer Science,0.79,Fail,Fail out,
YCT00013,Emeka Echendu,Male,2001-07-14,19,Nigerian,Rivers,2018,2020,2020-01-19,ND Urban and Regional Planning,Environmental Design,ND Urban and Regional Planning,1.25,Fail,Fail out,
YCT00014,Ọláchukwu Olatunji,Female,2000-05-20,22,Nigerian,Katsina,2020,2022,2022-07-14,HND Accountancy,Management Sciences,HND Accountancy,1.49,Fail,Fail out,
YCT00015,Uche Bello,Male,2001-04-13,24,Nigerian,Plateau,2023,2025,2025-01-28,ND Computer Science,Science,ND Computer Science,1.7,Fail,Fail out,
